time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
25739	1.645023	0.136330	3.301324	-5.202594	-0.429082	1.188423	0.281708	-0.000164	-1.001082
25740	1.617213	0.114202	3.242480	-5.215268	-0.405052	1.170523	0.276358	-0.000230	-1.000171
25741	1.594917	0.216334	3.219043	-5.280299	-0.592367	0.969272	0.270856	-0.002604	-0.999809
25742	1.594431	0.225549	3.220610	-5.320070	-0.652943	0.908803	0.264794	-0.003605	-0.999833
25743	1.492657	0.270951	3.034100	-5.332546	-0.681419	1.017496	0.259891	-0.005483	-0.996946
25744	1.470690	0.219753	2.974034	-5.391378	-0.744738	0.959277	0.254517	-0.005545	-0.996017
25745	1.470230	0.224176	2.974446	-5.433711	-0.775540	0.794912	0.248436	-0.006541	-0.996023
25746	1.444256	0.297655	2.949219	-5.493055	-0.890158	0.726031	0.242902	-0.008902	-0.995633
25747	1.424068	0.239477	2.888127	-5.498372	-0.889353	0.731080	0.237512	-0.008961	-0.994687
25748	1.397752	0.307137	2.862198	-5.516962	-1.053005	0.697241	0.231966	-0.011316	-0.994286
25749	1.400725	0.289988	2.860856	-5.621096	-1.022055	0.607960	0.225861	-0.012305	-0.994265
25750	1.374421	0.345009	2.834124	-5.622805	-1.111800	0.595617	0.220303	-0.014654	-0.993851
25751	1.403288	0.380016	2.907666	-5.578616	-1.169994	0.523306	0.214835	-0.016555	-0.994990
25752	1.410224	0.347667	2.904896	-5.595457	-1.245620	0.502908	0.208713	-0.017538	-0.994947
25753	1.384556	0.390082	2.876914	-5.594382	-1.318584	0.498270	0.203137	-0.019877	-0.994514
25754	1.360420	0.421709	2.848565	-5.613190	-1.470675	0.467382	0.197555	-0.022213	-0.994075
25755	1.337910	0.444844	2.819851	-5.626144	-1.620988	0.436051	0.191966	-0.024544	-0.993631
25756	1.316928	0.461306	2.790772	-5.601527	-1.661977	0.475156	0.186372	-0.026873	-0.993181
25757	1.297287	0.472531	2.761332	-5.601569	-1.706173	0.473863	0.180771	-0.029197	-0.992725
25758	1.349055	0.519083	2.890950	-5.711375	-1.889667	0.091844	0.174557	-0.032000	-0.994731
25759	1.332229	0.520495	2.860594	-5.673629	-1.982421	0.125761	0.168945	-0.034317	-0.994261
25760	1.315919	0.520012	2.829880	-5.674136	-2.005889	0.149160	0.163327	-0.036629	-0.993786
25761	1.316333	0.555915	2.857813	-5.750994	-2.206736	0.033507	0.156990	-0.039858	-0.994218
25762	1.262270	0.607877	2.802029	-5.722558	-2.301429	0.066561	0.151906	-0.043513	-0.993355
25763	1.271343	0.620031	2.828957	-5.764491	-2.362511	0.034318	0.145555	-0.046730	-0.993771
25764	1.265721	0.594379	2.796667	-5.733891	-2.449644	0.066273	0.139913	-0.049024	-0.993272
25765	1.273308	0.608584	2.822544	-5.801370	-2.546050	0.094019	0.133548	-0.052230	-0.993672
25766	1.238703	0.677533	2.823783	-5.782965	-2.801770	0.089630	0.127719	-0.056778	-0.993691
25767	1.240812	0.637817	2.790287	-5.780789	-2.793441	0.095588	0.122058	-0.059056	-0.993173
25768	1.253515	0.639668	2.814587	-5.851912	-2.860901	0.037582	0.115673	-0.062243	-0.993549
25769	1.272918	0.708340	2.913464	-5.854633	-2.982398	-0.103398	0.109933	-0.066333	-0.995079
25770	1.276402	0.665210	2.878685	-5.861170	-2.978075	-0.097113	0.104256	-0.068596	-0.994541
25771	1.304767	0.697561	2.959060	-5.952840	-3.055006	-0.173727	0.097129	-0.072672	-0.995785
25772	1.305207	0.658014	2.923387	-5.958592	-3.050139	-0.167289	0.091440	-0.074925	-0.995233
25773	1.323789	0.726280	3.019867	-5.928775	-3.134153	-0.133084	0.085675	-0.078987	-0.996726
25774	1.340787	0.716797	3.040729	-5.986933	-3.191697	-0.186080	0.079250	-0.082134	-0.997049
25775	1.341250	0.675831	3.003796	-5.988577	-3.184459	-0.179533	0.073546	-0.084370	-0.996477
25776	1.373804	0.775958	3.155596	-6.000740	-3.299051	-0.307425	0.067035	-0.089313	-0.998827
25777	1.378710	0.727489	3.117744	-6.042417	-3.203436	-0.325919	0.061320	-0.091538	-0.998241
25778	1.392756	0.720753	3.136402	-6.048767	-3.196911	-0.317374	0.054872	-0.094658	-0.998530
25779	1.456916	0.722686	3.252618	-6.093374	-3.221835	-0.470553	0.048537	-0.097338	-1.000328
25780	1.408800	0.748020	3.190142	-6.018976	-3.246452	-0.379592	0.043341	-0.100885	-0.999361
25781	1.474521	0.746165	3.305132	-6.079509	-3.180164	-0.569470	0.036996	-0.103552	-1.001141
25782	1.485507	0.742545	3.321508	-6.064228	-3.162346	-0.558740	0.030526	-0.106645	-1.001394
25783	1.485507	0.742545	3.321508	-5.679260	-2.883169	-0.451649	0.030526	-0.106645	-1.001394
25784	1.516688	0.797450	3.427108	-6.120743	-3.161949	-0.530511	0.018219	-0.113712	-1.003029
25785	1.581497	0.794082	3.539321	-6.167229	-3.187415	-0.682398	0.011855	-0.116352	-1.004765
25786	1.533851	0.815692	3.474509	-6.057997	-3.209503	-0.609227	0.006627	-0.119858	-1.003762
25787	1.599322	0.810021	3.585507	-6.101140	-3.106874	-0.625249	0.000254	-0.122485	-1.005480
25788	1.610110	0.802982	3.598463	-6.107275	-3.100269	-0.616576	-0.006247	-0.125535	-1.005680
25789	1.626799	0.865263	3.685190	-6.115355	-3.220573	-0.752926	-0.012105	-0.129477	-1.007023
25790	1.692133	0.857595	3.794093	-6.105625	-3.053294	-0.705434	-0.018491	-0.132083	-1.008708
25791	1.702833	0.848714	3.805236	-6.136131	-3.053161	-0.670270	-0.025006	-0.135110	-1.008881
25792	1.719170	0.909694	3.890032	-6.125076	-3.169222	-0.833086	-0.030880	-0.139028	-1.010193
25793	1.770472	0.866188	3.942007	-6.093896	-3.071682	-0.831189	-0.036535	-0.140733	-1.010997
25794	1.735111	0.921093	3.928878	-6.073705	-3.182515	-0.697919	-0.042544	-0.145063	-1.010794
25795	1.800021	0.910610	4.034494	-6.145595	-3.152053	-0.807131	-0.048950	-0.147634	-1.012429
25796	1.816738	0.967784	4.116865	-6.129682	-3.201541	-0.838473	-0.054843	-0.151520	-1.013703
25797	1.817487	0.915727	4.070289	-6.094440	-3.140867	-0.774696	-0.060638	-0.153628	-1.012983
25798	1.833949	0.972372	4.151567	-6.053964	-3.127503	-0.800822	-0.066539	-0.157498	-1.014240
25799	1.898563	0.959582	4.254569	-6.056585	-3.119777	-0.790454	-0.072960	-0.160040	-1.015835
25800	1.851201	0.974895	4.184430	-6.061796	-3.113187	-0.784668	-0.078250	-0.163449	-1.014749
25801	1.869837	1.024256	4.263985	-6.029695	-3.200584	-0.749995	-0.084164	-0.167295	-1.015980
25802	1.923753	0.972776	4.311435	-5.970960	-3.100795	-0.788109	-0.089845	-0.168948	-1.016715
25803	1.940103	1.026462	4.389818	-5.978270	-3.094208	-0.779237	-0.095767	-0.172779	-1.017928
25804	1.895646	1.033697	4.318334	-5.933501	-3.113335	-0.653501	-0.101072	-0.176159	-1.016821
25805	1.916220	1.076387	4.395684	-5.903828	-3.194267	-0.621009	-0.107003	-0.179972	-1.018018
25806	1.972245	1.020493	4.441240	-5.843861	-3.041082	-0.609336	-0.112693	-0.181603	-1.018723
25807	1.989683	1.069086	4.517425	-5.856086	-3.186216	-0.635236	-0.118631	-0.185400	-1.019903
25808	1.996307	1.080619	4.540034	-5.797359	-3.086347	-0.674675	-0.123818	-0.188331	-1.020252
25809	1.966784	1.113043	4.519780	-5.774630	-3.202972	-0.535780	-0.129897	-0.192532	-1.019939
25810	1.976825	1.117460	4.541610	-5.724535	-3.133671	-0.468919	-0.135091	-0.195448	-1.020277
25811	2.046210	1.090662	4.637464	-5.778260	-3.161931	-0.626865	-0.141548	-0.197903	-1.021760
25812	2.052379	1.101311	4.658389	-5.730814	-3.094327	-0.560426	-0.146747	-0.200806	-1.022084
25813	2.071797	1.141896	4.731287	-5.746114	-3.137886	-0.598287	-0.152707	-0.204554	-1.023212
25814	2.080097	1.147622	4.751353	-5.665308	-3.161215	-0.512725	-0.157911	-0.207443	-1.023523
25815	2.088483	1.152804	4.771046	-5.631635	-3.069290	-0.559736	-0.163118	-0.210325	-1.023828
25816	2.146611	1.165338	4.885059	-5.589296	-3.127322	-0.633323	-0.168192	-0.212785	-1.025592
25817	2.153930	1.171620	4.903921	-5.544545	-3.062130	-0.568220	-0.173403	-0.215655	-1.025884
25818	2.161396	1.177244	4.922413	-5.538236	-3.025384	-0.667695	-0.178616	-0.218519	-1.026170
25819	2.168969	1.182284	4.940536	-5.481604	-2.954100	-0.601622	-0.183832	-0.221376	-1.026451
25820	2.226206	1.194281	5.052642	-5.444263	-3.014972	-0.675863	-0.188913	-0.223813	-1.028186
25821	2.185895	1.262481	5.048563	-5.364844	-3.043866	-0.587922	-0.193639	-0.227958	-1.028123
25822	2.246755	1.267987	5.159728	-5.346179	-3.002461	-0.663515	-0.198724	-0.230381	-1.029843
25823	2.244326	1.236712	5.125020	-5.297697	-2.939979	-0.604317	-0.203183	-0.232375	-1.029306
25824	2.302104	1.245976	5.235319	-5.231944	-2.820884	-0.739243	-0.208271	-0.234788	-1.031013
25825	2.309281	1.249323	5.251128	-5.227256	-2.810700	-0.732050	-0.213499	-0.237608	-1.031257
25826	2.306112	1.293648	5.288356	-5.035316	-2.829632	-0.695486	-0.217333	-0.240473	-1.031834
